author_username,avg_play_count,avg_engagement,avg_likes,avg_shares,avg_comments,avg_hashtags,avg_duration,avg_posting_hour,video_count,category,tier
ecenanz,75328.41666666667,0.02268808333333333,1210.875,63.208333333333336,28.958333333333332,4.958333333333333,43.916666666666664,16.75,24,food_beverage,1
ecenaz.karaca,67330.65467625899,0.030600021438848914,1954.3525179856115,115.15107913669065,13.215827338129497,2.1007194244604315,26.755395683453237,12.66906474820144,139,fitness_health,2
edagrkn,42504.730769230766,0.015476807692307692,769.8076923076923,48.73076923076923,8.903846153846153,0.38461538461538464,50.90384615384615,13.25,52,food_beverage,2
efedemmr,226768.47837837838,0.022603232432432434,3003.908108108108,215.42972972972973,28.224324324324325,0.672972972972973,25.562162162162164,15.751351351351351,370,fitness_health,1
efeilefinans,110231.86956521739,0.023466869565217395,2476.1739130434785,102.6086956521739,36.869565217391305,4.695652173913044,92.21739130434783,15.695652173913043,23,business_finance,2
efeparlakdemirr,873914.9606299213,0.047111161338582674,42816.04724409449,5032.507874015748,147.1771653543307,0.9881889763779528,25.80314960629921,15.618110236220472,254,entertainment,0
efesener.mvp,6493.333333333333,0.030887523809523806,168.04761904761904,32.61904761904762,8.19047619047619,3.0952380952380953,61.04761904761905,16.0,21,tech,1
ege.fitness,90291.63196125907,0.04509111619854721,3749.690072639225,122.17917675544794,33.86198547215496,6.394673123486683,13.169491525423728,13.682808716707022,413,fitness_health,1
egosun_yks_gunlugu,22397.785714285714,0.031310142857142856,847.1428571428571,52.07142857142857,20.107142857142858,8.535714285714286,44.07142857142857,15.321428571428571,28,education,2
elifirmakeenguzel,504736.26126126124,0.06381925082207206,21669.394144144146,833.1610360360361,102.37387387387388,0.268018018018018,72.08108108108108,17.57207207207207,888,fashion_beauty,1
eliz.seray,13310.493333333334,0.03246384,206.57333333333332,61.85333333333333,4.746666666666667,1.5466666666666666,37.92,14.68,75,food_beverage,1
elvin,876810.9589041095,0.017493013698630138,9067.342465753425,354.26027397260276,85.67123287671232,0.7671232876712328,52.58904109589041,16.82191780821918,73,fashion_beauty,1
elvindamatoglu,155570.94949494948,0.02560468686868687,2321.4141414141413,139.07070707070707,47.03030303030303,0.6262626262626263,56.90909090909091,13.313131313131313,99,fashion_beauty,2
emirelidemir0,2536094.2693409743,0.03600200859598854,74675.44126074499,3891.3696275071634,358.2005730659026,6.624641833810888,26.659025787965614,15.292263610315187,349,food_beverage,0
emirhaanctn,1323286.3636363635,0.0302825,36100.72727272727,2278.681818181818,552.0909090909091,2.0,23.90909090909091,13.727272727272727,22,entertainment,0
emrebaass,696976.4356435643,0.031029071287128715,24783.671287128713,996.7366336633663,65.43960396039604,2.4673267326732673,26.473267326732675,14.744554455445545,505,fitness_health,1
emrekrakaya,214219.7602739726,0.03286125342465753,8101.856164383562,416.13698630136986,63.363013698630134,1.3972602739726028,43.76712328767123,15.527397260273972,146,fitness_health,1
emssally,129047.89304812835,0.01993151336898396,2960.9786096256685,716.4812834224599,35.48663101604278,3.7058823529411766,50.55080213903744,14.663101604278076,187,food_beverage,1
enesazk,26778.94986807388,0.019500374670184697,522.5488126649077,43.21108179419525,9.060686015831134,0.15567282321899736,30.271767810026386,15.071240105540896,379,fitness_health,1
enespamuuk,86718.16358024691,0.02469891969135802,1944.2746913580247,133.3827160493827,35.660493827160494,2.746913580246914,18.666666666666668,13.290123456790123,324,fitness_health,1
enestendinle,176128.66315789474,0.012996989473684212,1244.3368421052633,104.81052631578947,49.04210526315789,4.778947368421052,34.71578947368421,11.221052631578948,95,fashion_beauty,2
erkanbasistay,245087.56195965418,0.02493772334293948,5675.198847262248,532.1239193083574,50.7492795389049,0.1642651296829971,15.654178674351584,14.106628242074928,347,fitness_health,1
ertugevrekli,74785.27797833935,0.01982370036101083,1368.620938628159,75.01805054151625,10.906137184115524,2.0,34.462093862815884,14.913357400722022,277,fitness_health,1
esrita.97,505804.59487179486,0.05719437902564099,27542.446153846155,1570.1128205128205,118.7897435897436,0.2512820512820513,42.90769230769231,14.430769230769231,195,entertainment,1
excel.egitim,501743.22222222225,0.018710037037037035,10318.925925925925,1101.237037037037,36.2962962962963,5.022222222222222,31.977777777777778,8.866666666666667,135,education,2
exerciseculture,29547.789915966387,0.023095789915966388,646.4873949579832,91.98319327731092,17.521008403361346,0.025210084033613446,46.80672268907563,15.907563025210084,119,fitness_health,1
fahriyenintarifleri,482852.1733128834,0.014863696319018405,6182.340490797546,2021.6242331288342,45.20552147239264,8.613496932515337,59.49693251533742,17.03680981595092,652,food_beverage,1
falpcan,13535.25,0.02872272595238094,346.57142857142856,80.38095238095238,11.464285714285714,4.904761904761905,29.88095238095238,15.916666666666666,84,fashion_beauty,1
fatihyasin,1858936.2068965517,0.047239387931034486,86596.38793103448,1580.4655172413793,453.5344827586207,0.1206896551724138,18.267241379310345,13.077586206896552,116,entertainment,0
ferdisahiin,1856.7843137254902,0.0281123137254902,38.6078431372549,2.7450980392156863,2.235294117647059,5.098039215686274,22.764705882352942,12.333333333333334,51,tech,2
feyzullahvaliyev,205056.1933085502,0.02437953810408922,4521.102230483271,690.9293680297397,40.59293680297398,6.408921933085502,33.737918215613384,14.016728624535316,1076,fitness_health,1
furkanakmans,409407.57547169813,0.023772301886792455,8514.650943396226,421.4622641509434,116.67924528301887,0.39622641509433965,55.132075471698116,16.028301886792452,106,tech,1
gezginkaravanci06_,31472.932989690722,0.02343373711340206,602.9484536082474,24.850515463917525,26.31958762886598,0.4175257731958763,94.4639175257732,13.216494845360824,194,travel,2
gobekli_koc,34419.52777777778,0.05188246451388884,2396.5555555555557,215.7902777777778,13.972222222222221,5.081944444444445,46.91111111111111,15.054166666666667,720,education,1
gokhantevek,363982.75423728814,0.04525871186440678,17962.86440677966,656.2203389830509,56.483050847457626,1.1101694915254237,27.847457627118644,13.288135593220339,118,entertainment,1
gulsahkocakk,227990.71942446043,0.018103690647482015,4435.503597122302,1224.1151079136691,18.26618705035971,6.323741007194244,32.69064748201439,15.496402877697841,139,food_beverage,1
guvencsyn,91596.0,0.01777384,1509.28,90.6,25.72,6.4,33.36,13.6,25,travel,2
hakan.k4yacan,10783.125,0.033991541666666666,240.54166666666666,17.34722222222222,4.708333333333333,1.5972222222222223,27.708333333333332,14.652777777777779,72,fitness_health,1
hakanetwork,9613.829545454546,0.029618488636363637,308.6363636363636,34.20454545454545,9.454545454545455,2.6931818181818183,59.125,15.875,88,business_finance,1
hangisupplement,71817.46808510639,0.023312446808510637,1681.5106382978724,325.6808510638298,72.95744680851064,0.2553191489361702,99.93617021276596,13.787234042553191,47,fitness_health,2
hanseats0,607058.44,0.0236788,18738.84,3480.2,31.6,4.68,38.36,13.2,25,food_beverage,2
harun_hoca,9128.043956043955,0.023659010879120874,197.1098901098901,44.54945054945055,4.5054945054945055,5.0,96.87912087912088,14.527472527472527,91,education,2
hasanfit,25997.855670103094,0.010633865979381443,289.9381443298969,38.381443298969074,5.958762886597938,1.8041237113402062,42.02061855670103,17.237113402061855,97,fitness_health,1
hazaliyorum,61168.70886075949,0.04172696202531646,3152.227848101266,188.65822784810126,30.075949367088608,4.3544303797468356,40.67088607594937,17.518987341772153,79,lifestyle,1
hilolgacc,22152.89430894309,0.026277016178861783,741.7723577235772,151.7642276422764,18.552845528455286,4.764227642276423,42.17886178861789,11.16260162601626,123,travel,2
hseyinqq,509422.0,0.0453999898989899,20980.575757575756,2576.6464646464647,86.96969696969697,0.020202020202020204,30.464646464646464,14.909090909090908,99,fitness_health,1
humadogukan,6973.444444444444,0.03554936111111111,121.41666666666667,19.194444444444443,5.694444444444445,4.722222222222222,66.97222222222223,15.055555555555555,36,travel,2
iam.can97,60509.55882352941,0.012515852941176471,865.7352941176471,177.73529411764707,27.235294117647058,4.735294117647059,65.82352941176471,13.970588235294118,34,fitness_health,2
ibrahimkurty,188040.0,0.01633352,3218.64,306.08,101.56,4.92,52.6,16.2,25,fitness_health,1
ilkergumusoluk,749734.8837209302,0.05157418137209303,30635.972093023254,2822.093023255814,174.12558139534883,0.2,53.65813953488372,12.044186046511628,430,entertainment,1
ipekersan,1554824.185483871,0.05414320532258062,52307.74193548387,4778.709677419355,235.2701612903226,0.31451612903225806,30.366935483870968,13.85483870967742,248,entertainment,0
ireemkii,56479.91472868217,0.024704434108527133,1666.0,79.9922480620155,15.364341085271318,4.953488372093023,41.713178294573645,12.868217054263566,129,food_beverage,2
iremakkyn,34821.449438202246,0.04138315730337079,758.4157303370787,242.96629213483146,6.370786516853933,4.741573033707865,23.59550561797753,12.865168539325843,89,food_beverage,2
irfanizbirakan,570332.8358208955,0.023187432835820896,12511.149253731342,389.13432835820896,97.98507462686567,1.0,83.05970149253731,14.746268656716419,67,tech,1
kahramanrf,142370.29761904763,0.024549952380952384,2926.1190476190477,115.41666666666667,60.0,5.2023809523809526,28.976190476190474,15.55952380952381,84,fitness_health,1
kardelen.kctrk,51298.38461538462,0.020651115384615386,1247.5384615384614,74.84615384615384,11.115384615384615,4.076923076923077,48.96153846153846,12.961538461538462,26,food_beverage,2
karizmauzmani,567128.4615384615,0.016528669230769233,8274.923076923076,938.9230769230769,59.10769230769231,0.8615384615384616,24.153846153846153,16.4,130,fashion_beauty,1
kenanertass,88641.36666666667,0.03571544966666664,3751.8166666666666,1054.0166666666667,24.233333333333334,1.5333333333333334,16.8,14.316666666666666,60,fitness_health,1
kere.m_sn1,7146.199074074074,0.03862990740740741,184.16203703703704,15.185185185185185,13.592592592592593,2.9675925925925926,20.74537037037037,14.796296296296296,216,fitness_health,1
kodlamalarlayks,30938.89224572004,0.025491645498489424,693.1993957703927,104.87311178247734,23.429003021148038,4.347432024169184,32.32729103726083,15.751258811681772,993,education,1
kollektifbaho,213032.56578947368,0.06270734845394736,11894.875,2170.9473684210525,95.19736842105263,0.006578947368421052,12.927631578947368,15.43421052631579,304,entertainment,1
konsolordd,23203.811881188118,0.01443940594059406,285.56435643564356,46.613861386138616,30.02970297029703,3.5247524752475248,50.306930693069305,12.584158415841584,101,gaming,2
konsoloyun,324012.36559139786,0.011138983870967742,4410.381720430108,100.33870967741936,53.95161290322581,2.5806451612903225,66.04838709677419,10.161290322580646,186,gaming,2
kurnazmatematik,21792.583732057417,0.026035385167464113,631.7392344497607,64.2177033492823,7.885167464114833,3.222488038277512,62.41866028708134,14.435406698564593,418,education,1
kursatdara69,18768.588888888888,0.01993393703703704,334.35555555555555,82.06296296296296,19.503703703703703,4.970370370370371,50.39259259259259,16.1,270,gaming,1
kutayayata,12050.6135770235,0.027327751958224542,209.09138381201043,22.60052219321149,33.838120104438644,0.15404699738903394,33.49608355091384,16.906005221932116,383,fitness_health,1
kutaykalabalik,835971.68,0.08965588423999978,78955.608,3046.616,442.032,0.068,25.552,15.612,250,entertainment,0
kutaystrong,218084.13274336283,0.013664188790560472,3884.687315634218,677.0324483775811,241.38053097345133,3.8761061946902653,27.421828908554573,16.188790560471976,339,fitness_health,1
kvandoan,155738.2304737516,0.06605838226632518,9861.259923175416,757.606914212548,127.47887323943662,5.2445582586427655,79.18693982074264,14.224071702944942,781,education,1
marsbengisu2,918951.724137931,0.03895631034482759,32150.120689655174,2261.8275862068967,192.1551724137931,4.172413793103448,25.517241379310345,17.224137931034484,58,entertainment,1
maskonomist,130668.4074074074,0.015240555555555556,2723.740740740741,106.67901234567901,47.46913580246913,14.358024691358025,44.69135802469136,13.777777777777779,81,business_finance,2
mavi.pompa,66178.26666666666,0.029461511111111113,1560.9555555555555,151.77777777777777,20.355555555555554,1.6222222222222222,35.77777777777778,11.266666666666667,45,gaming,2
melih_ozbek,105673.08974358975,0.017815038461538462,1245.6025641025642,75.35897435897436,10.756410256410257,3.6153846153846154,52.62820512820513,14.423076923076923,78,tech,2
